,UBar
313,0.5236641221374045
314,0.8631016042780749
315,0.6156744536548606
316,0.17941176470588235
317,0.7123486682808716
318,0.8371404399323181
319,0.8536817102137767
320,0.5707154742096506
321,0.6500843170320405
322,0.8290598290598291
323,0.7028836251287333
324,0.5644519121890638
325,0.6817418426103646
326,0.6770626594839807
327,0.8115804461319411
328,0.5103338632750397
329,0.666323377960865
330,0.8750994431185362
331,0.07511737089201878
332,0.8661764705882353
333,0.3823673469387755
334,0.5295454545454545
335,0.6128491620111732
336,0.787852865697177
337,0.5448515476942514
338,0.7382352941176471
339,0.969140950792327
340,0.7884546432413051
341,1.0
342,0.8423227939656954
343,0.9090909090909091
344,0.8876456876456876
345,0.7951482479784366
346,0.6558614564831261
347,0.8706070287539937
348,0.36984815618221256
349,0.5074858027878162
350,0.5775085430257844
351,0.7370203160270881
352,0.9257382491700157
353,0.7040296924708378
354,0.9615384615384616
355,0.9570912375790425
356,0.972264728385616
357,0.9634578674665939
358,0.7192784667418264
359,0.18072289156626506
360,0.9963583394027676
361,0.3911826452064381
362,0.8319870759289176
363,0.958975940777298
364,0.5354430379746835
365,0.763604525862069
366,0.6307629538963688
367,0.8863636363636364
368,0.9576206558448632
369,0.9579913085465959
370,0.8433144037170883
371,0.5013698630136987
372,0.6021581046211588
373,0.5471298453717433
374,0.7926409903713892
375,0.40468819106590004
376,0.2184543994288774
377,0.849674574847785
378,0.6414073071718539
379,0.806771643196601
380,0.784961106309421
381,0.8650548214787742
382,0.48527952365200133
383,0.6838103756708408
384,0.9286248131539612
385,0.7091359728932672
386,0.6532584269662921
387,0.8077442126025122
388,0.8907175773535221
389,0.9023941068139963
390,0.4096774193548387
391,0.6001268767181223
392,0.7633035334184759
393,0.8019573978123201
394,0.2737373737373737
395,0.8327515074579499
396,0.829733163913596
397,0.7768261150614092
398,0.44874274661508706
399,0.7346153846153847
400,0.8453427065026362
401,0.41088180112570355
402,0.5997486647816526
403,0.7493458201349676
404,0.4260989961924541
405,0.8087255534064045
406,0.6348414677591735
407,0.7762577228596647
408,0.6106648436164758
409,0.6960416666666667
410,0.43288084464555054
411,0.6220779220779221
412,0.7035326714384669
413,0.9458456973293768
414,0.7470065662417922
415,0.9813747228381374
416,0.5717488789237668
417,0.9149400218102508
418,0.6824644549763034
419,0.8894668400520156
420,0.8908045977011494
421,0.7902409083934325
422,0.6675960218051683
423,0.6651275820170109
424,0.8226415094339623
425,0.7172619047619048
426,0.8077354260089686
427,0.8465728551974581
428,0.7561737155833097
429,0.6537942556062456
430,0.7600244072524407
431,0.6231155778894473
432,0.7773420479302833
433,0.7858366647629925
434,0.835357624831309
435,0.8675932699341624
436,0.812933025404157
437,0.4806122448979592
438,0.49363474679397173
439,0.6389261744966444
440,0.4727414330218069
441,0.5962180200222469
442,0.5019305019305019
443,0.7371647509578544
444,0.3184818481848185
445,0.864244741873805
446,0.9886363636363636
447,0.8563127311146329
448,0.6706537530266344
449,0.6282271944922547
450,0.7391681109185442
451,0.7445877979444566
452,0.9187997724687145
453,0.5884652981427175
454,0.9161344071091364
455,0.5827740492170023
456,0.7477710670117917
457,0.6404945904173107
458,0.8933691756272402
459,0.9163701067615658
460,0.8658536585365854
461,0.7558554366371956
462,0.905511811023622
463,0.8165631469979296
464,0.5384350224060669
465,0.6920353982300885
466,0.907535829865927
467,0.9035738368172623
468,0.5355973813420621
469,0.9217011128775835
470,0.8845208845208845
471,0.500763358778626
472,0.8065967016491754
473,0.4935400516795866
474,0.8185164212910532
475,0.7561909319296567
476,0.6567944250871081
477,0.5632754342431762
478,0.7418256130790191
479,0.40730337078651685
480,0.38115449915110355
481,0.8025099075297226
482,0.12582781456953643
483,0.8150313152400835
484,0.777292576419214
485,0.8545391223589506
486,0.4794245858761988
487,0.7093581461506548
488,0.5969498910675382
489,0.8456057007125891
490,0.513189448441247
491,0.9605947955390335
492,0.6492985971943888
493,0.7808764940239044
494,0.7556025896414342
495,0.6790232663388945
496,0.6706207987346777
497,0.8596491228070176
498,0.4430379746835443
499,0.5407725321888412
500,0.6029492080830148
501,0.47547169811320755
502,0.6657559198542805
503,0.5510352342898656
504,0.6606965174129353
505,0.29592314901593253
506,0.8595744680851064
507,0.49436795994993743
508,0.7331742243436754
509,0.7423014586709886
510,0.2999440402909905
511,0.15019762845849802
512,0.32222222222222224
513,0.30402010050251255
514,0.9485875706214689
515,0.9772579597141
516,0.631600491199345
517,0.4095022624434389
518,0.4319981369352585
519,0.9839883551673945
520,0.5433263452131377
521,0.5552761478997857
522,0.4248907638993521
523,0.8943152959562415
524,0.5972049689440994
525,0.9543292102759277
526,0.7617554858934169
527,0.940212150433944
528,0.6292682926829268
529,0.7383660806618407
530,0.6589579701723804
531,0.8156066274719401
532,0.6901840490797546
533,0.6945454545454546
534,0.9140173410404624
535,0.7583081570996979
536,0.6757075471698113
537,0.5719489981785064
538,0.4263322884012539
539,0.7079021636876763
540,0.6485335856196783
541,0.9259430687340894
542,0.6662989520132377
543,0.38341968911917096
544,0.7921428571428571
545,0.0794979079497908
546,0.5717533390167662
547,0.5717521103561869
548,0.5359855750786465
549,0.869244028564393
